date,tr_norm,tr_modfy,tr_right,bb_norm,bb_modfy,bb_right
27/8/2009,0.283418419,0.251798375,0.221250287,-0.025896911,-0.041113789,-0.0482686
28/8/2009,0.118751474,0.091334811,0.062847618,-0.409749732,-0.404798447,-0.406832684
31/8/2009,-0.00424008,-0.016932655,-0.039071093,-0.246930738,-0.257232395,-0.268023512
1/9/2009,-0.364217951,-0.360631439,-0.364428504,-0.333630532,-0.336869948,-0.337484467
2/9/2009,-0.177636236,-0.180688761,-0.188151808,-0.381255492,-0.382369356,-0.382644096
3/9/2009,-0.401460999,-0.399912963,-0.399252055,-0.21003275,-0.210834496,-0.207275454
4/9/2009,-0.373007687,-0.371996951,-0.371681423,0.000818096,-0.003626728,-0.002933351
7/9/2009,-0.348893015,-0.355400539,-0.351359805,0.101345854,0.099156208,0.10115852
8/9/2009,-0.370349968,-0.376457439,-0.373544403,0.109019207,0.100198602,0.104477924
9/9/2009,-0.411554654,-0.412651644,-0.405965062,0.194145139,0.187820341,0.190832932
10/9/2009,0.065096072,0.055339757,0.046886231,0.284261496,0.283460086,0.287037427
11/9/2009,0.13848245,0.133352083,0.127598634,0.642727678,0.646835439,0.654352437
14/9/2009,-0.262217196,-0.266219352,-0.264619149,0.698876292,0.702157891,0.708129551
15/9/2009,-0.160724575,-0.160305329,-0.161114067,0.751374154,0.758646165,0.761117427
16/9/2009,-0.146960437,-0.147585069,-0.147760455,0.77186667,0.783609063,0.783976308
17/9/2009,0.022497869,0.029524642,0.028821433,0.758182537,0.77366119,0.772653076
18/9/2009,-0.121989017,-0.106131462,-0.101386262,0.755178009,0.773729741,0.774690941
21/9/2009,-0.111983878,-0.0892018,-0.081482928,0.592984352,0.627700785,0.636760194
22/9/2009,-0.232613075,-0.224860694,-0.233309935,0.332609423,0.395308338,0.412176927
23/9/2009,-0.05896854,-0.041316875,-0.04675539,-0.127372286,-0.010279602,0.017726742
24/9/2009,0.190261681,0.24357475,0.248865248,-0.744455075,-0.675986323,-0.66760957
25/9/2009,-0.125861541,-0.08589694,-0.090820912,-0.757469689,-0.722398478,-0.716409229
28/9/2009,-0.028151571,-0.03949086,-0.051724009,-0.589463748,-0.600529844,-0.600426741
29/9/2009,0.034358011,0.021385227,0.006652,0.10405015,0.066116921,0.041038622
30/9/2009,0.341529316,0.344431425,0.344719318,-0.1097671,-0.15332695,-0.183724902
9/10/2009,0.176639009,0.173898799,0.164139625,-0.181905578,-0.222071141,-0.254139079
12/10/2009,0.141330223,0.136973688,0.128965123,-0.160640362,-0.199941121,-0.237220706
13/10/2009,-0.012123895,-0.021978706,-0.036591117,-0.173119971,-0.208887353,-0.243424365
14/10/2009,0.047551706,0.046185826,0.03736081,-0.193346226,-0.224202618,-0.255793706
15/10/2009,0.003786857,0.00097126,-0.010058732,-0.176375474,-0.200937743,-0.228927516
16/10/2009,0.117507839,0.12156467,0.115786602,-0.088599297,-0.102045686,-0.118209656
19/10/2009,0.093655385,0.093557223,0.082033158,-0.171742877,-0.175109587,-0.181060909
20/10/2009,0.086221699,0.083853138,0.070167331,-0.265100536,-0.265805045,-0.280436008
21/10/2009,-0.241198094,-0.240657149,-0.230463014,-0.108322635,-0.103584927,-0.110835386
22/10/2009,0.128427055,0.128984325,0.132850103,0.09116317,0.100535508,0.09019243
23/10/2009,0.17929273,0.179262243,0.182099969,0.315953624,0.328789414,0.317603498
26/10/2009,0.05714911,0.046739589,0.047341025,0.325956032,0.344602215,0.337838018
27/10/2009,0.099317227,0.092321432,0.092027641,0.357940901,0.380673017,0.376906974
28/10/2009,0.158519497,0.153883591,0.152198071,0.211105885,0.231689708,0.23092098
29/10/2009,-0.057293843,-0.063573974,-0.071498102,-0.042777771,-0.031222522,-0.035129974
30/10/2009,-0.058749265,-0.074408348,-0.080961642,-0.069899554,-0.065582034,-0.067813734
2/11/2009,-0.125980139,-0.137595122,-0.143453697,-0.092239909,-0.091954458,-0.088679209
3/11/2009,0.049938429,0.028929139,0.024003705,-0.339607904,-0.325750902,-0.313910603
4/11/2009,0.037576907,0.015920364,0.008639709,0.324149792,0.288912896,0.278862539
5/11/2009,-0.044824557,-0.062031967,-0.070004655,0.516377456,0.474389993,0.465420953
6/11/2009,0.131528796,0.101474478,0.078491741,0.795823682,0.778484451,0.767706629
9/11/2009,0.277416335,0.263373614,0.248244783,0.804507992,0.800173685,0.805721562
10/11/2009,0.297624352,0.28510426,0.272816217,0.836355483,0.838344779,0.851853657
11/11/2009,-0.080490911,-0.092423053,-0.076904678,0.839175687,0.84127959,0.858702725
12/11/2009,0.048926935,0.036975164,0.049917667,0.834619187,0.836947899,0.857279983
13/11/2009,0.095745369,0.082289432,0.098368817,0.834732084,0.837730244,0.858656325
16/11/2009,0.32402124,0.316930749,0.357803717,0.804273535,0.805547842,0.828569281
17/11/2009,-0.091968341,-0.101100577,-0.076554508,0.595634542,0.606842826,0.621303711
18/11/2009,-0.10057421,-0.106314117,-0.073653786,0.058195328,0.104873048,0.141812238
19/11/2009,-0.023583287,-0.067743291,-0.066125796,-0.485313458,-0.426987402,-0.4185152
20/11/2009,0.031511412,0.004001642,0.008753683,-0.759763787,-0.735682256,-0.74104492
23/11/2009,0.075041829,0.059479847,0.065167973,-0.813870527,-0.80256976,-0.802949727
24/11/2009,-0.096093143,-0.107880709,-0.110113771,-0.826662022,-0.819701952,-0.817279383
25/11/2009,0.063940974,0.047278449,0.044040192,-0.819206437,-0.807249361,-0.803122562
26/11/2009,0.061560586,0.032076178,0.029541526,-0.534219062,-0.570156545,-0.565437656
27/11/2009,0.581228732,0.571425926,0.577018383,-0.623294667,-0.648446772,-0.647570512
30/11/2009,0.501138877,0.468403758,0.477607275,-0.5377463,-0.581504697,-0.598353853
1/12/2009,0.462832916,0.441368044,0.452006082,-0.502879497,-0.58186114,-0.615825612
2/12/2009,0.481281049,0.421757567,0.429095339,-0.285380683,-0.439540315,-0.480557271
