,name,date,open,high,low,close,beta,R2,ret,beta_norm,beta_modfy,beta_right
3940,沪深300,2021/3/23,5057.06,5064.02,4966.53,5009.25,0.981577784,0.916212799,-0.009471738,0.648939095,0.594566305,0.583613076
3941,沪深300,2021/3/24,4985.4,5024.33,4919.89,4928.69,1.01202013,0.904877559,-0.016082248,0.936037846,0.846999641,0.857180687
3942,沪深300,2021/3/25,4904.07,4950.76,4883.66,4926.35,1.029163983,0.90342824,-0.000474771,1.0990761,0.992936386,1.021894366
3943,沪深300,2021/3/26,4953.95,5050.83,4953.95,5037.99,1.100761682,0.907741776,0.022661808,1.771672722,1.608221343,1.770268431
3944,沪深300,2021/3/29,5052.26,5086.65,5010.39,5046.88,1.090023455,0.885342898,0.001764593,1.67173154,1.480055647,1.61329537
3945,沪深300,2021/3/30,5043.1,5106.04,5032.8,5094.73,1.092143581,0.828140439,0.009481105,1.693141992,1.402159353,1.531359337
3946,沪深300,2021/3/31,5085.95,5085.95,5015.61,5048.36,1.058303187,0.727243416,-0.009101562,1.377040282,1.001443478,1.059830825
3947,沪深300,2021/4/1,5059.94,5115.43,5056.87,5110.78,0.989634861,0.608067532,0.012364411,0.7344187,0.446576167,0.441947343
3948,沪深300,2021/4/2,5129.85,5169.83,5116.35,5161.56,0.730884909,0.717115392,0.009935861,-1.702536109,-1.220914849,-0.892348238
3949,沪深300,2021/4/6,5178.64,5181.15,5125.33,5140.34,0.818772893,0.85749075,-0.00411116,-0.869638022,-0.74570656,-0.610564317
3950,沪深300,2021/4/7,5141.66,5141.66,5065.19,5103.74,0.802847023,0.876279333,-0.007120152,-1.01890338,-0.892843975,-0.716817127
3951,沪深300,2021/4/8,5078.26,5129.13,5062.07,5112.21,0.804545118,0.902263458,0.001659567,-1.004778537,-0.906574957,-0.729380456
3952,沪深300,2021/4/9,5100.04,5100.04,5022.09,5035.34,0.801635105,0.897964653,-0.01503655,-1.030129128,-0.925019544,-0.74152814
3953,沪深300,2021/4/12,5026.98,5045.6,4933.01,4947.75,0.817927863,0.936284875,-0.017395052,-0.873380269,-0.817732736,-0.668846389
3954,沪深300,2021/4/13,4949.81,4994.54,4924.2,4939.64,0.797058299,0.933353169,-0.001639129,-1.071305312,-0.999906208,-0.796983541
